,Me and Roboco,One Piece,Sakamoto Days,Jujutsu Kaisen,Blue Box,The Ichinose Family's Deadly Sins,Akane-banashi,Cipher Academy,Black Clover,Witch Watch,The Elusive Samurai,Mission: Yozakura Family,Hunter × Hunter,High School Family: Kokosei Kazoku,Undead Unluck,Tokyo Demon Bride Story,PPPPPP,My Hero Academia,Ichigoki's Under Control!!,Ginka & Glüna,Mashle: Magic and Muscles,Fabricant 100
0,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,,,,,
2,,2.0,3.0,,5.0,9.0,,6.0,,1.0,8.0,10.0,12.0,14.0,13.0,15.0,,4.0,7.0,11.0,16.0,
3,4.0,,2.0,6.0,1.0,3.0,,9.0,,10.0,8.0,,12.0,11.0,,15.0,13.0,,5.0,14.0,16.0,7.0
4,1.0,2.0,3.0,4.0,5.0,11.0,10.0,6.0,7.0,,13.0,,14.0,16.0,12.0,15.0,18.0,,8.0,19.0,17.0,9.0
5,,,,,,,,,,,,,,,,,,,,,,
6,3.0,,1.0,2.0,5.0,9.0,8.0,11.0,10.0,13.0,,18.0,,16.0,12.0,19.0,17.0,4.0,6.0,14.0,15.0,7.0
7,,,,,,,,,,,,,,,,,,,,,,
8,6.0,2.0,1.0,3.0,,5.0,,9.0,14.0,10.0,7.0,,,12.0,,16.0,17.0,4.0,8.0,15.0,13.0,11.0
9,,2.0,5.0,4.0,6.0,,1.0,9.0,12.0,3.0,10.0,11.0,,17.0,7.0,15.0,14.0,,13.0,16.0,,8.0
10,2.0,,,4.0,1.0,5.0,,9.0,11.0,,7.0,10.0,,14.0,,12.0,13.0,,3.0,15.0,6.0,8.0
11,9.0,1.0,4.0,2.0,5.0,8.0,,10.0,,7.0,,,,12.0,3.0,16.0,15.0,,14.0,13.0,6.0,11.0
12,,2.0,,,3.0,10.0,5.0,9.0,6.0,1.0,8.0,12.0,,,,15.0,16.0,4.0,13.0,14.0,7.0,11.0
13,,,1.0,6.0,,11.0,3.0,9.0,13.0,4.0,7.0,8.0,,,5.0,14.0,,2.0,10.0,15.0,,12.0
14,3.0,,1.0,,4.0,,,11.0,7.0,6.0,10.0,5.0,,,8.0,14.0,,2.0,15.0,13.0,9.0,12.0
15,1.0,2.0,,4.0,,6.0,5.0,12.0,,3.0,8.0,,,,7.0,13.0,,,11.0,14.0,9.0,10.0
16,3.0,2.0,7.0,4.0,8.0,9.0,1.0,16.0,11.0,5.0,,12.0,,,6.0,15.0,,,13.0,14.0,,10.0
17,,2.0,4.0,,5.0,6.0,3.0,13.0,,1.0,10.0,9.0,,,,15.0,,7.0,11.0,14.0,8.0,12.0
18,8.0,,,2.0,7.0,,4.0,9.0,10.0,6.0,3.0,11.0,,,1.0,,,5.0,12.0,14.0,,13.0
0,3.727272727272727,1.9,2.9166666666666665,3.75,4.615384615384615,7.538461538461538,4.7,9.75,10.0,5.714285714285714,8.461538461538462,10.727272727272727,12.75,14.0,8.090909090909092,15.0,15.555555555555555,4.0,9.933333333333334,14.333333333333334,11.090909090909092,10.071428571428571
